0.22182,-0.14018,0.11136,1.1453,-0.20251,-0.13365
0.22192,-0.14044,0.11136,1.1479,-0.20321,-0.13425
0.22199,-0.14068,0.11136,1.1504,-0.20407,-0.13496
0.22205,-0.14093,0.11136,1.1526,-0.20492,-0.13582
0.22211,-0.14117,0.11136,1.1546,-0.20584,-0.13679
0.22217,-0.14142,0.11136,1.1567,-0.20679,-0.13768
0.22221,-0.14167,0.11136,1.1585,-0.20782,-0.13857
0.22226,-0.14191,0.11136,1.1599,-0.20903,-0.13957
0.22229,-0.14215,0.11136,1.161,-0.21039,-0.14067
0.22232,-0.1424,0.11135,1.1619,-0.21189,-0.14168
0.22234,-0.14265,0.11135,1.1627,-0.2136,-0.14251
0.22238,-0.14292,0.11134,1.1636,-0.21541,-0.14319
0.22243,-0.14317,0.11134,1.1648,-0.21721,-0.14372
0.22248,-0.14343,0.11134,1.1661,-0.21889,-0.1443
0.22256,-0.1437,0.11134,1.1675,-0.22052,-0.1451
0.22264,-0.14398,0.11134,1.169,-0.22219,-0.14605
0.22273,-0.14428,0.11135,1.1705,-0.2239,-0.14698
0.22282,-0.14457,0.11135,1.172,-0.22567,-0.14796
0.22291,-0.14488,0.11136,1.1732,-0.22746,-0.1491
0.22302,-0.14518,0.11137,1.1741,-0.22921,-0.15023
0.22312,-0.14549,0.11139,1.175,-0.23088,-0.15128
0.22323,-0.1458,0.1114,1.1764,-0.23246,-0.1524
0.22333,-0.1461,0.11141,1.1782,-0.23388,-0.15352
0.22345,-0.14641,0.11142,1.1804,-0.23528,-0.1546
0.22357,-0.14671,0.11144,1.1827,-0.23678,-0.15565
0.2237,-0.14701,0.11145,1.1846,-0.23831,-0.15658
0.22386,-0.14728,0.11147,1.1866,-0.23996,-0.15756
0.22401,-0.14758,0.11148,1.1886,-0.24171,-0.15874
0.22417,-0.14787,0.11149,1.1903,-0.24352,-0.16002
0.22432,-0.14815,0.11151,1.1921,-0.24545,-0.16121
0.22444,-0.14843,0.11152,1.1941,-0.24747,-0.16237
0.22457,-0.1487,0.11154,1.1963,-0.24951,-0.16371
0.22469,-0.14896,0.11156,1.1984,-0.25157,-0.16507
0.22484,-0.14921,0.11158,1.2004,-0.25361,-0.16646
0.22502,-0.14947,0.1116,1.2025,-0.25554,-0.16792
0.22521,-0.14976,0.11162,1.2046,-0.25744,-0.16922
0.22543,-0.15005,0.11163,1.2067,-0.25943,-0.17052
0.22566,-0.15034,0.11165,1.2091,-0.26149,-0.17184
0.22588,-0.15062,0.11166,1.2116,-0.26347,-0.17315
0.22612,-0.15088,0.11168,1.2143,-0.2654,-0.17442
0.22639,-0.15113,0.1117,1.2174,-0.2673,-0.17564
0.22666,-0.15141,0.11172,1.2204,-0.26903,-0.17679
0.22693,-0.15168,0.11173,1.2232,-0.27059,-0.17777
0.22721,-0.15195,0.11175,1.2259,-0.2722,-0.17869
0.22748,-0.15219,0.11176,1.2285,-0.27401,-0.17965
0.22774,-0.15245,0.11177,1.2313,-0.2759,-0.18062
0.22803,-0.15272,0.11178,1.2343,-0.27771,-0.18148
0.22833,-0.15298,0.1118,1.2374,-0.27957,-0.18227
0.22862,-0.15325,0.11181,1.2401,-0.28142,-0.18295
0.22888,-0.15352,0.11182,1.2429,-0.28317,-0.18365
0.22913,-0.15377,0.11183,1.2458,-0.28496,-0.18438
0.22937,-0.15404,0.11185,1.2484,-0.28686,-0.18492
0.22963,-0.1543,0.11186,1.2511,-0.28896,-0.1853
0.22988,-0.15456,0.11187,1.2536,-0.29106,-0.18564
0.23016,-0.15481,0.11189,1.2556,-0.29295,-0.18593
0.23047,-0.15506,0.1119,1.2577,-0.29472,-0.18631
0.23077,-0.15533,0.11191,1.2601,-0.29639,-0.18676
0.23105,-0.1556,0.11192,1.2627,-0.29793,-0.18708
0.23132,-0.15587,0.11193,1.2656,-0.29952,-0.18726
0.23157,-0.15612,0.11194,1.2683,-0.30112,-0.18741
0.23181,-0.15637,0.11194,1.2708,-0.30273,-0.18746
0.23203,-0.1566,0.11194,1.2732,-0.30442,-0.18743
0.23226,-0.15683,0.11194,1.2756,-0.30617,-0.18735
0.23251,-0.15706,0.11195,1.278,-0.30792,-0.18717
0.23278,-0.15729,0.11194,1.2808,-0.30956,-0.18689
0.23305,-0.15752,0.11194,1.2835,-0.31121,-0.18657
0.23333,-0.15773,0.11194,1.286,-0.31288,-0.1864
0.23361,-0.15796,0.11193,1.2882,-0.31453,-0.1863
0.23392,-0.15819,0.11193,1.2902,-0.31611,-0.18618
0.23424,-0.15843,0.11192,1.292,-0.31751,-0.18616
0.23458,-0.15867,0.11191,1.2939,-0.31887,-0.18632
0.23489,-0.15891,0.1119,1.2959,-0.32011,-0.18652
0.23521,-0.15914,0.11189,1.2982,-0.32126,-0.18661
0.23554,-0.15938,0.11188,1.3006,-0.32256,-0.18653
0.23588,-0.15961,0.11186,1.3031,-0.32408,-0.18639
0.2362,-0.15983,0.11185,1.3057,-0.32577,-0.18642
0.23655,-0.16005,0.11183,1.3083,-0.3276,-0.1865
0.23691,-0.16027,0.11182,1.3108,-0.32954,-0.18652
